bill_id,bill_type,full_name,frequency,num_transcripts,variants
HB 2,HB,House Bill,279,279,"HB
2; HB 2; HB2; House Bill
2; House Bill 2"
SB 3,SB,Senate Bill,64,64,"SB
3; SB 3; SB3; Senate Bill
3; Senate Bill 3"
SB 17,SB,Senate Bill,41,41,"SB
17; SB 17; Senate Bill
17; Senate Bill 17; Senate bill
17"
HB 1,HB,House Bill,40,40,"HB 1; HB1; House Bill
1; House Bill 1; house Bill 1"
SB 2,SB,Senate Bill,39,39,"SB 2; SB2; Senate Bill
2; Senate Bill 2; Senate bill 2"
SB 9,SB,Senate Bill,37,37,"SB
9; SB 9; SB9; Senate Bill
9; Senate Bill 9"
SB 1,SB,Senate Bill,36,36,"SB
1; SB 1; SB1; Senate Bill
1; Senate Bill 1"
HB 63,HB,House Bill,31,31,"HB
63; HB 63; House Bill
63; House Bill 63"
HB 171,HB,House Bill,31,31,"HB 171; House Bill
171; House Bill 171; house Bill
171; house Bill 171"
HB 137,HB,House Bill,30,30,"HB
137; HB 137; House Bill
137; House Bill 137; House bill 137"
HB 47,HB,House Bill,30,30,"HB
47; HB 47; House Bill
47; House Bill 47; House bill 47"
HB 5,HB,House Bill,30,30,"HB
5; HB 5; HB5; House Bill
5; House Bill 5"
HB 128,HB,House Bill,29,29,"HB
128; HB 128; House Bill
128; House Bill 128; hb 128"
HB 130,HB,House Bill,29,29,"HB
130; HB 130; House Bill
130; House Bill 130; house Bill
130"
HB 3,HB,House Bill,27,27,"HB
3; HB 3; HB3; House Bill
3; House Bill 3"
SB 169,SB,Senate Bill,27,27,"SB
169; SB 169; Senate Bill
169; Senate Bill 169; Senate bill
169"
HB 11,HB,House Bill,27,27,"HB
11; HB 11; House Bill
11; House Bill 11; House bill
11"
SB 4,SB,Senate Bill,26,26,"SB 4; SB4; Senate Bill
4; Senate Bill 4"
SB 5,SB,Senate Bill,26,26,"SB
5; SB 5; Senate Bill
5; Senate Bill 5; Senate bill 5"
SB 159,SB,Senate Bill,26,26,"SB
159; Senate Bill
159; Senate Bill 159; Senate bill 159"
SB 26,SB,Senate Bill,26,26,"SB
26; SB 26; Senate Bill
26; Senate Bill 26; Senate bill
26"
HB 4,HB,House Bill,26,26,"HB
4; HB 4; HB4; House Bill
4; House Bill 4"
HB 253,HB,House Bill,26,26,"HB
253; HB 253; House Bill
253; House Bill 253; house Bill
253"
SB 21,SB,Senate Bill,26,26,"SB
21; SB 21; Senate Bill
21; Senate Bill 21; Senate bill
21"
HB 6,HB,House Bill,26,26,"HB
6; HB 6; HB6; House Bill
6; House Bill 6"
HB 41,HB,House Bill,25,25,"HB
41; HB 41; House Bill
41; House Bill 41; house Bill 41"
SB 13,SB,Senate Bill,25,25,"SB
13; SB 13; Senate Bill
13; Senate Bill 13; Senate bill
13"
SB 42,SB,Senate Bill,25,25,"SB 42; Senate Bill
42; Senate Bill 42; Senate bill
42"
HB 8,HB,House Bill,24,24,"HB
8; HB 8; HB8; House Bill
8; House Bill 8"
SB 170,SB,Senate Bill,24,24,"SB
170; SB 170; Senate Bill
170; Senate Bill 170"
HB 195,HB,House Bill,24,24,"HB 195; House Bill
195; House Bill 195; house Bill 195"
HB 10,HB,House Bill,24,24,"HB
10; HB 10; House Bill
10; House Bill 10"
HB 252,HB,House Bill,24,24,"HB
252; HB 252; House Bill
252; House Bill 252; house Bill
252"
HB 71,HB,House Bill,24,24,"HB
71; HB 71; House Bill
71; House Bill 71; house Bill 71"
HB 145,HB,House Bill,23,23,"HB 145; House Bill
145; House Bill 145"
SB 82,SB,Senate Bill,23,23,"SB 82; Senate Bill
82; Senate Bill 82"
HB 19,HB,House Bill,23,23,"HB
19; HB 19; HB19; House Bill
19; House Bill 19"
SB 72,SB,Senate Bill,23,23,"SB
72; SB 72; Senate Bill
72; Senate Bill 72; Senate bill 72"
SB 137,SB,Senate Bill,22,22,"SB
137; SB 137; Senate Bill
137; Senate Bill 137; Senate bill
137"
SB 12,SB,Senate Bill,22,22,"SB 12; Senate Bill
12; Senate Bill 12; Senate bill
12; Senate bill 12"
SB 15,SB,Senate Bill,22,22,"SB
15; SB 15; Senate Bill
15; Senate Bill 15"
HB 14,HB,House Bill,22,22,"HB
14; HB 14; House Bill
14; House Bill 14; house Bill 14"
HB 12,HB,House Bill,21,21,"HB
12; HB 12; House Bill
12; House Bill 12; house Bill 12"
HB 212,HB,House Bill,20,20,"HB
212; HB 212; House Bill
212; House Bill 212; House bill
212"
HB 140,HB,House Bill,20,20,"HB
140; HB 140; House Bill
140; House Bill 140; hb
140"
SB 161,SB,Senate Bill,20,20,"SB 161; Senate Bill
161; Senate Bill 161; Senate bill 161"
SB 88,SB,Senate Bill,20,20,"SB 88; Senate Bill
88; Senate Bill 88; Senate bill 88"
SM 5,SM,Senate Memorial,20,20,"SM
5; SM 5; SM5; Senate Memorial
5; Senate Memorial 5"
HB 298,HB,House Bill,20,20,"HB
298; HB 298; House Bill
298; House Bill 298; house Bill
298"
SB 31,SB,Senate Bill,20,20,"SB 31; Senate Bill
31; Senate Bill 31; Senate bill 31"
SB 175,SB,Senate Bill,19,19,"SB
175; SB 175; Senate Bill
175; Senate Bill 175"
HB 33,HB,House Bill,19,19,"HB
33; HB 33; House Bill
33; House Bill 33; house Bill
33"
HB 93,HB,House Bill,19,19,"HB
93; HB 93; House Bill
93; House Bill 93; house Bill 93"
HB 98,HB,House Bill,19,19,"HB 98; House Bill
98; House Bill 98; House bill 98; house Bill
98"
HB 91,HB,House Bill,19,19,"HB
91; HB 91; House Bill
91; House Bill 91; house Bill 91"
HB 181,HB,House Bill,19,19,"HB 181; House Bill
181; House Bill 181; house Bill 181"
SB 33,SB,Senate Bill,19,19,"SB
33; SB 33; Senate Bill
33; Senate Bill 33; Senate bill 33"
HB 211,HB,House Bill,19,19,"HB 211; House Bill
211; House Bill 211; house Bill 211"
SB 53,SB,Senate Bill,19,19,"SB 53; Senate Bill
53; Senate Bill 53"
HB 117,HB,House Bill,19,19,"HB 117; House Bill
117; House Bill 117"
SB 201,SB,Senate Bill,18,18,"SB
201; SB 201; Senate Bill
201; Senate Bill 201; Senate bill 201"
HB 233,HB,House Bill,18,18,"HB
233; HB 233; House Bill
233; House Bill 233; hb
233"
SB 280,SB,Senate Bill,18,18,"SB
280; SB 280; Senate Bill
280; Senate Bill 280"
SB 48,SB,Senate Bill,18,18,"SB
48; SB 48; Senate Bill
48; Senate Bill 48; Senate bill 48"
HB 207,HB,House Bill,18,18,"HB 207; House Bill
207; House Bill 207; House bill 207; house Bill
207"
HB 143,HB,House Bill,18,18,"HB
143; HB 143; House Bill
143; House Bill 143; House bill
143"
HB 66,HB,House Bill,18,18,"HB
66; HB 66; House Bill
66; House Bill 66; house Bill 66"
SB 127,SB,Senate Bill,18,18,"Senate Bill
127; Senate Bill 127"
SB 11,SB,Senate Bill,18,18,"SB
11; SB 11; Senate Bill
11; Senate Bill 11; Senate bill
11"
SB 16,SB,Senate Bill,18,18,"SB
16; SB 16; Senate Bill
16; Senate Bill 16; Senate bill
16"
HB 269,HB,House Bill,17,17,"HB
269; HB 269; House Bill
269; House Bill 269; house Bill 269"
SB 6,SB,Senate Bill,17,17,"SB 6; Senate Bill
6; Senate Bill 6; Senate bill 6"
SB 14,SB,Senate Bill,17,17,"SB 14; Senate Bill
14; Senate Bill 14"
HB 7,HB,House Bill,17,17,"HB
7; HB 7; HB7; House Bill
7; House Bill 7"
SB 142,SB,Senate Bill,17,17,"SB 142; Senate Bill
142; Senate Bill 142"
HB 20,HB,House Bill,17,17,"HB
20; HB 20; HB20; House Bill
20; House Bill 20"
HB 183,HB,House Bill,17,17,"House Bill
183; House Bill 183"
SB 45,SB,Senate Bill,17,17,"SB 45; Senate Bill
45; Senate Bill 45"
HB 251,HB,House Bill,17,17,"HB 251; House Bill
251; House Bill 251; house Bill
251; house Bill 251"
HB 214,HB,House Bill,17,17,"HB
214; HB 214; House Bill
214; House Bill 214; House bill
214"
SB 47,SB,Senate Bill,17,17,"SB 47; Senate Bill
47; Senate Bill 47"
SB 36,SB,Senate Bill,17,17,"SB
36; SB 36; Senate Bill
36; Senate Bill 36; Senate bill
36"
SB 275,SB,Senate Bill,17,17,"SB 275; Senate Bill
275; Senate Bill 275; Senate bill 275"
SB 163,SB,Senate Bill,17,17,"SB
163; SB 163; Senate Bill
163; Senate Bill 163; Senate bill
163"
SB 75,SB,Senate Bill,17,17,"SB
75; Senate Bill
75; Senate Bill 75; Senate bill 75"
SB 8,SB,Senate Bill,17,17,"SB 8; Senate Bill
8; Senate Bill 8"
SB 417,SB,Senate Bill,17,17,"SB
417; SB 417; SB417; Senate Bill
417; Senate Bill 417"
HB 22,HB,House Bill,16,16,"HB
22; HB 22; House Bill
22; House Bill 22; house Bill 22"
SB 23,SB,Senate Bill,16,16,"SB
23; SB 23; Senate Bill
23; Senate Bill 23"
SB 64,SB,Senate Bill,16,16,"SB 64; Senate Bill
64; Senate Bill 64"
HB 206,HB,House Bill,16,16,"HB 206; House Bill
206; House Bill 206; house Bill
206"
HB 284,HB,House Bill,16,16,"HB
284; HB 284; House Bill
284; House Bill 284"
SB 37,SB,Senate Bill,16,16,"SB
37; SB 37; Senate Bill
37; Senate Bill 37"
SB 112,SB,Senate Bill,16,16,"SB
112; SB 112; Senate Bill
112; Senate Bill 112"
HB 308,HB,House Bill,16,16,"HB
308; HB 308; House Bill
308; House Bill 308; house bill 308"
HB 295,HB,House Bill,16,16,"HB
295; HB 295; House Bill
295; House Bill 295"
HB 129,HB,House Bill,16,16,"HB 129; House Bill
129; House Bill 129; house Bill
129; house Bill 129"
HB 255,HB,House Bill,16,16,"HB
255; HB 255; House Bill
255; House Bill 255; house Bill 255"
SB 41,SB,Senate Bill,16,16,"SB
41; SB 41; Senate Bill
41; Senate Bill 41"
SB 7,SB,Senate Bill,16,16,"SB
7; SB 7; SB7; Senate Bill
7; Senate Bill 7"
HB 54,HB,House Bill,16,16,"HB
54; HB 54; House Bill
54; House Bill 54; house Bill
54"
SB 19,SB,Senate Bill,16,16,"SB 19; Senate Bill
19; Senate Bill 19; Senate bill 19"
HB 161,HB,House Bill,15,15,"HB
161; HB 161; House Bill
161; House Bill 161; House bill 161"
HB 120,HB,House Bill,15,15,"House Bill
120; House Bill 120; house Bill 120; house bill
120"
HB 157,HB,House Bill,15,15,"HB
157; HB 157; House Bill
157; House Bill 157"
SB 115,SB,Senate Bill,15,15,"SB
115; SB 115; Senate Bill
115; Senate Bill 115"
HB 131,HB,House Bill,15,15,"HB
131; HB 131; House Bill
131; House Bill 131; House bill
131"
SB 126,SB,Senate Bill,15,15,"Senate Bill
126; Senate Bill 126"
HB 357,HB,House Bill,15,15,"HB 357; House Bill
357; House Bill 357; house Bill 357"
HB 196,HB,House Bill,15,15,"HB 196; House Bill
196; House Bill 196; house Bill
196; house Bill 196"
HB 9,HB,House Bill,15,15,"HB
9; HB 9; HB9; House Bill
9; House Bill 9"
HB 175,HB,House Bill,15,15,"HB 175; House Bill
175; House Bill 175; house Bill
175; house bill
175"
HB 156,HB,House Bill,15,15,"House Bill
156; House Bill 156; house Bill
156; house Bill 156"
HB 13,HB,House Bill,15,15,"HB
13; HB 13; House Bill
13; House Bill 13"
SB 39,SB,Senate Bill,15,15,"SB 39; Senate Bill
39; Senate Bill 39"
HB 65,HB,House Bill,15,15,"HB 65; House Bill
65; House Bill 65; house Bill
65"
HB 69,HB,House Bill,15,15,"HB 69; House Bill
69; House Bill 69; house Bill 69"
SB 70,SB,Senate Bill,15,15,"Senate Bill
70; Senate Bill 70; Senate bill 70"
SB 131,SB,Senate Bill,15,15,"SB
131; SB 131; Senate Bill
131; Senate Bill 131; Senate bill
131"
HB 178,HB,House Bill,15,15,"HB
178; HB 178; House Bill
178; House Bill 178; house Bill 178"
SB 109,SB,Senate Bill,15,15,"SB 109; Senate Bill
109; Senate Bill 109; Senate bill 109"
HB 15,HB,House Bill,14,14,"HB 15; House Bill
15; House Bill 15"
HB 167,HB,House Bill,14,14,"HB
167; HB 167; House Bill
167; House Bill 167; House bill 167"
SB 58,SB,Senate Bill,14,14,"SB
58; SB 58; Senate Bill
58; Senate Bill 58"
HB 21,HB,House Bill,14,14,"HB
21; House Bill
21; House Bill 21; house Bill
21; house bill 21"
SB 376,SB,Senate Bill,14,14,"Senate Bill
376; Senate Bill 376; Senate bill 376"
HB 193,HB,House Bill,14,14,"HB 193; House Bill
193; House Bill 193; house Bill
193; house Bill 193"
SB 220,SB,Senate Bill,14,14,"SB 220; Senate Bill
220; Senate Bill 220; Senate bill 220"
SB 216,SB,Senate Bill,14,14,"SB
216; SB 216; Senate Bill
216; Senate Bill 216; Senate bill 216"
SB 10,SB,Senate Bill,14,14,"SB 10; Senate Bill
10; Senate Bill 10"
HB 192,HB,House Bill,14,14,"HB 192; House Bill
192; House Bill 192; house Bill 192"
HB 281,HB,House Bill,14,14,"HB
281; HB 281; House Bill
281; House Bill 281; house Bill 281"
HB 197,HB,House Bill,14,14,"HB 197; House Bill
197; House Bill 197"
SB 357,SB,Senate Bill,14,14,"SB
357; SB 357; Senate Bill
357; Senate Bill 357; Senate bill 357"
HB 159,HB,House Bill,14,14,"HB 159; House Bill
159; House Bill 159"
HB 395,HB,House Bill,14,14,"HB
395; HB 395; House Bill
395; House Bill 395; house Bill
395"
HB 24,HB,House Bill,14,14,"HB
24; HB 24; House Bill
24; House Bill 24; house bill 24"
HB 203,HB,House Bill,14,14,"HB 203; House Bill
203; House Bill 203"
HB 78,HB,House Bill,14,14,"HB 78; House Bill
78; House Bill 78; House bill 78; house Bill
78"
HB 458,HB,House Bill,13,13,"HB 458; House Bill
458; House Bill 458; house Bill 458"
HB 17,HB,House Bill,13,13,"HB
17; HB 17; House Bill
17; House Bill 17"
HB 75,HB,House Bill,13,13,"HB
75; HB 75; House Bill
75; House Bill 75; hb
75"
HB 113,HB,House Bill,13,13,"HB
113; HB 113; House Bill
113; House Bill 113"
HB 219,HB,House Bill,13,13,"HB 219; House Bill
219; House Bill 219"
HB 209,HB,House Bill,13,13,"House Bill
209; House Bill 209; house Bill 209; house bill 209"
SB 119,SB,Senate Bill,13,13,"Senate Bill
119; Senate Bill 119; Senate bill 119"
HB 199,HB,House Bill,13,13,"HB
199; HB 199; House Bill
199; House Bill 199; house Bill
199"
SB 236,SB,Senate Bill,13,13,"SENATE Bill 236; Senate Bill
236; Senate Bill 236; Senate bill 236"
SB 76,SB,Senate Bill,13,13,"SB
76; Senate Bill
76; Senate Bill 76"
HB 151,HB,House Bill,13,13,"HB 151; House Bill
151; House Bill 151; hb 151; house Bill
151"
SB 219,SB,Senate Bill,13,13,"SB
219; SB 219; Senate Bill
219; Senate Bill 219"
HB 102,HB,House Bill,13,13,"HB 102; House Bill
102; House Bill 102; house Bill
102; house Bill 102"
HB 449,HB,House Bill,13,13,"House Bill
449; House Bill 449; house Bill 449"
SB 92,SB,Senate Bill,13,13,"SB 92; Senate Bill
92; Senate Bill 92"
HB 99,HB,House Bill,13,13,"HB 99; House Bill
99; House Bill 99; house Bill 99"
SB 18,SB,Senate Bill,13,13,"SB 18; Senate Bill
18; Senate Bill 18"
HB 405,HB,House Bill,13,13,"HB 405; House Bill
405; House Bill 405; house bill 405"
SB 96,SB,Senate Bill,13,13,"SB 96; Senate Bill
96; Senate Bill 96; Senate bill
96; Senate bill 96"
SB 383,SB,Senate Bill,13,13,"SB 383; Senate Bill
383; Senate Bill 383; Senate bill 383"
SB 345,SB,Senate Bill,13,13,"SB
345; SB 345; Senate Bill
345; Senate Bill 345; Senate bill 345"
SB 113,SB,Senate Bill,13,13,"Senate Bill
113; Senate Bill 113"
HB 352,HB,House Bill,13,13,"House Bill
352; House Bill 352; house Bill 352"
SB 353,SB,Senate Bill,13,13,"Senate Bill
353; Senate Bill 353; Senate bill 353"
HB 101,HB,House Bill,13,13,"HB
101; HB 101; House Bill
101; House Bill 101"
HB 158,HB,House Bill,12,12,HB 158; House Bill 158
HB 134,HB,House Bill,12,12,"HB
134; HB 134; House Bill
134; House Bill 134; house Bill
134"
HB 174,HB,House Bill,12,12,"HB 174; House Bill
174; House Bill 174; House bill 174"
HB 303,HB,House Bill,12,12,"HB 303; House Bill
303; House Bill 303; House bill 303; hb
303"
HB 165,HB,House Bill,12,12,"HB 165; House Bill
165; House Bill 165; house Bill
165; house Bill 165"
HB 36,HB,House Bill,12,12,"HB
36; HB 36; House Bill
36; House Bill 36; house Bill 36"
SB 327,SB,Senate Bill,12,12,"SB 327; Senate Bill
327; Senate Bill 327; Senate bill 327"
SB 495,SB,Senate Bill,12,12,"Senate Bill
495; Senate Bill 495; Senate bill
495"
SB 116,SB,Senate Bill,12,12,"SB
116; SB 116; Senate Bill
116; Senate Bill 116"
HB 28,HB,House Bill,12,12,"HB
28; HB 28; House Bill
28; House Bill 28; house Bill
28"
SB 108,SB,Senate Bill,12,12,"SB
108; SB 108; Senate Bill
108; Senate Bill 108"
HB 50,HB,House Bill,12,12,"HB
50; HB 50; House Bill
50; House Bill 50; hb 50"
HB 239,HB,House Bill,12,12,"HB 239; House Bill
239; House Bill 239; house Bill 239"
HB 149,HB,House Bill,12,12,"House Bill
149; House Bill 149; house Bill
149; house Bill 149"
SB 401,SB,Senate Bill,12,12,"SB
401; SB 401; Senate Bill
401; Senate Bill 401; Senate bill 401"
SB 535,SB,Senate Bill,12,12,"SB 535; Senate Bill
535; Senate Bill 535"
HB 191,HB,House Bill,12,12,"HB
191; HB 191; House Bill
191; House Bill 191; house Bill 191"
HB 291,HB,House Bill,12,12,"HB 291; House Bill
291; House Bill 291"
HB 182,HB,House Bill,12,12,"House Bill
182; House Bill 182"
SB 101,SB,Senate Bill,12,12,"SB
101; SB 101; Senate Bill
101; Senate Bill 101"
SB 83,SB,Senate Bill,12,12,"SB
83; SB 83; Senate Bill
83; Senate Bill 83; Senate bill
83"
SB 78,SB,Senate Bill,12,12,"SB 78; Senate Bill
78; Senate Bill 78; Senate bill 78"
HB 64,HB,House Bill,12,12,"HB 64; House Bill
64; House Bill 64; house Bill
64; house Bill 64"
SB 100,SB,Senate Bill,12,12,"Senate Bill
100; Senate Bill 100"
SB 302,SB,Senate Bill,12,12,"SB
302; Senate Bill
302; Senate Bill 302; Senate bill 302"
SB 118,SB,Senate Bill,12,12,"Senate Bill
118; Senate Bill 118"
SB 199,SB,Senate Bill,12,12,"Senate Bill
199; Senate Bill 199"
SB 73,SB,Senate Bill,12,12,"SB 73; Senate Bill
73; Senate Bill 73; Senate bill 73"
SB 146,SB,Senate Bill,12,12,"Senate Bill
146; Senate Bill 146"
SB 249,SB,Senate Bill,12,12,"Senate Bill
249; Senate Bill 249; Senate bill 249"
SB 252,SB,Senate Bill,12,12,"SB 252; Senate Bill
252; Senate Bill 252; Senate bill 252"
SB 135,SB,Senate Bill,12,12,"SB
135; SB 135; Senate Bill
135; Senate Bill 135"
HB 218,HB,House Bill,12,12,"HB 218; House Bill
218; House Bill 218"
HB 260,HB,House Bill,12,12,"HB 260; House Bill
260; House Bill 260; house Bill
260; house Bill 260"
HB 403,HB,House Bill,12,12,"HB
403; HB 403; House Bill
403; House Bill 403"
SB 120,SB,Senate Bill,12,12,"SB
120; SB 120; Senate Bill
120; Senate Bill 120"
HB 343,HB,House Bill,12,12,"HB 343; House Bill
343; House Bill 343"
SB 124,SB,Senate Bill,12,12,"Senate Bill
124; Senate Bill 124"
SB 507,SB,Senate Bill,12,12,"SB 507; Senate Bill
507; Senate Bill 507"
SB 274,SB,Senate Bill,12,12,"Senate Bill
274; Senate Bill 274"
HB 487,HB,House Bill,11,11,"House Bill
487; House Bill 487; house bill 487"
HB 289,HB,House Bill,11,11,"HB
289; HB 289; House Bill
289; House Bill 289; house Bill 289"
HB 553,HB,House Bill,11,11,"HB
553; HB 553; House Bill
553; House Bill 553; house bill 553"
HB 270,HB,House Bill,11,11,"HB
270; HB 270; House Bill
270; House Bill 270; House bill 270"
SB 481,SB,Senate Bill,11,11,"SB
481; SB 481; Senate Bill
481; Senate Bill 481"
SB 290,SB,Senate Bill,11,11,"Senate Bill
290; Senate Bill 290; Senate bill 290"
SB 217,SB,Senate Bill,11,11,"Senate Bill
217; Senate Bill 217"
SB 49,SB,Senate Bill,11,11,"SB
49; SB 49; Senate Bill 49; Senate bill 49"
SB 133,SB,Senate Bill,11,11,"SB 133; Senate Bill
133; Senate Bill 133"
SB 343,SB,Senate Bill,11,11,"SB 343; Senate Bill
343; Senate Bill 343; Senate bill 343"
HB 323,HB,House Bill,11,11,"HB 323; House Bill
323; House Bill 323"
HB 155,HB,House Bill,11,11,"HB 155; House Bill
155; House Bill 155; House bill 155"
HB 56,HB,House Bill,11,11,"HB
56; HB 56; House Bill
56; House Bill 56"
HB 296,HB,House Bill,11,11,"HB 296; House Bill
296; House Bill 296"
HB 220,HB,House Bill,11,11,"HB 220; House Bill
220; House Bill 220"
SB 22,SB,Senate Bill,11,11,"SB
22; SB 22; Senate Bill
22; Senate Bill 22"
HB 427,HB,House Bill,11,11,"HB
427; HB 427; House Bill
427; House Bill 427; house bill
427"
