bill_id,bill_type,transcript_file
HB 2,HB,IC-LegislativeEducationStudy_Wednesday_Sep3_2025_135PM-458PM - 2025-09-12.cc.txt
HB 2,HB,IC-LegislativeHealthandHumanServices_Tuesday_Aug19_2025_102PM-410PM - 2025-09-12.cc.txt
HB 2,HB,IC-LegislativeHealthandHumanServices_Tuesday_Aug19_2025_920AM-1155AM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Friday_Feb21_2025_1037AM-1050AM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Friday_Feb28_2025_339PM-602PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Friday_Mar7_2025_615PM-815PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Monday_Feb3_2025_140PM-403PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Monday_Mar17_2025_655PM-802PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Monday_Mar3_2025_232PM-445PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Saturday_Feb15_2025_915AM-927AM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Saturday_Feb15_2025_928AM-1005AM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Saturday_Feb8_2025_1248PM-203PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Saturday_Feb8_2025_1251PM-132PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Saturday_Feb8_2025_910AM-1240PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Thursday_Feb13_2025_141PM-514PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Thursday_Feb20_2025_610PM-803PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Thursday_Feb27_2025_618PM-710PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Thursday_Feb6_2025_155PM-617PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Thursday_Jan23_2025_143PM-508PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Thursday_Mar20_2025_1023AM-1128AM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Thursday_Mar20_2025_1043PM-1224AM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Tuesday_Feb11_2025_346PM-655PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Tuesday_Feb18_2025_1035AM-1121AM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Tuesday_Feb4_2025_212PM-821PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Tuesday_Mar18_2025_658PM-913PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Tuesday_Mar4_2025_501PM-635PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Wednesday_Feb12_2025_214PM-743PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Wednesday_Feb19_2025_151PM-356PM - 2025-09-12.cc.txt
HB 2,HB,House-AppropriationsandFinance_Wednesday_Feb26_2025_137PM-414PM - 2025-09-12.cc.txt
