Name,Frequency,Confidence,Primary_Role,Affiliation,Variants,File_Count
Padilla,914,high,legislator,Public Education department,Michael Padilla; Andrea Padilla; Mariana Padilla,266
Woods,861,high,legislator,,Pat Woods,223
Lopez,855,high,legislator,"Pojoaque high school in
UNM",Sedillo Lopez; Sidil Lopez; Dia Lopez; Serio Lopez; Sadia Lopez; Sio Lopez; Sidia Lopez; Cedillo Lopez; Di Lopez; Antoinette Sedillo Lopez; Scott Lopez; Linda Lopez; Sadil Lopez; Si Lopez; Cedilla Lopez; Cio Lopez; Cedil Lopez; Saa Lopez; Cia Lopez; Quinn Lopez; Center City Lopez,233
Martinez,814,high,legislator,"Presbyterian
Medical services",Marshall Martinez; Speaker Martinez; Vince Martinez; Larry Martinez; John Martinez; Lisa Martinez; Melanie Martinez; Eric Martinez; Mr Martinez; Lane Speaker Martinez,259
Scott,741,high,legislator,"Otero and Lincoln
counties good afternoon
as a are analysts",Larry Scott,122
Sanchez,663,high,legislator,Bold Futures,Erica Sanchez; Scott Sanchez; Kat Sanchez; Cat Sanchez; Joseph Sanchez; Joshua Sanchez; Alan Sanchez,213
Hickey,622,high,legislator,Senate,Doctor Hickey; Martin Hickey,170
Armstrong,578,high,legislator,Magdalena,Gail Armstrong; Deborah Armstrong; Ranking Member Armstrong,184
Trujillo,572,high,legislator,"Indian Affairs department as
well as secretary Vigil from
that CYFD have met with the
president",Christine Trujillo; Patricia Trujillo,222
Townsend,568,high,legislator,,,97
Dixon,564,high,legislator,,Meredith Dixon,175
Mcqueen,561,high,legislator,,,124
Steinborn,558,high,legislator,"Dona Ana County
thank you",Jeff Steinborn,202
Speaker,545,high,unknown,,Mr Speaker; Mister Speaker,161
Garcia,534,high,legislator,"Tom church in that will let
Representative Rubio catch up
when she comes in",Paula Garcia; Jerry Garcia; John Garcia; Harry Garcia; Rachel Mercer Garcia; Jim Garcia; Angela Garcia; Miguel Garcia,200
Brown,508,high,legislator,"Sunrise Clinics
about the importance of two
funds that helped him with
hisucamari clinic and with
their",John Brown,176
Garrett,489,high,legislator,,Joy Garrett,175
Brandt,488,high,legislator,,,129
Figueroa,475,high,legislator,,Natalie Figueroa,111
