Name,Frequency,Variants,Confidence_Level
Lopez,1074,Sil Lopez; Cedilla Lopez; Sidia Lopez; Serio Lopez; Linda Lopez; Cedillo Lopez; Sedillo Lopez; Lopez Mentioned; Katrina Hope From Lopez; In Center City Lopez; Sedillo Lopez No; Sadia Lopez; Sidia Lopez Mentioned That; Sadil Lopez; Si Lopez; Sidil Lopez; Dia Lopez; Sio Lopez; Sedillo Lopez Yes; Di Lopez; Cio Lopez; De Lopez; Savia Lopez; Siio Lopez; Saa Lopez; Suil Lopez; Sedillo Lopez Yes Yes; Sedillo Lopez Center Novell; Sedillo Lopez You'Re; Cia Lopez; Sedillo Lopez Is That; Sedillo Lopez Please Proceed; Lopez Here; Sedillo Lopez To Explain; Sedillo Lopez Yes Explain; Sah Lopez; Sedillo Lopez Is Presenting; Sedillo Lopez So; Sadilla Lopez; Sedillo Lopez Yes Session; Cedil Lopez; Siia Lopez; Saia Lopez; Lopez Yes Explain My; Sedillo Lopez And Then; Sedillo Lopez Yes There; Cedilia Lopez; Senio Lopez; Sedillo Lopez Would You; Sedillo Lopez Your; Lopez Said That There; Lopez Yes; Lopez No; Siddy Lopez; Silvia Lopez; Lopez That; Lopez For Bringing This; Lo; Lopez Can; Lopez It; Lopez On Senate Bill; Lopez For Bringing Forth; Sedillo Lopez Okay Let; Said The Lopez; Sedillo Lopez Any Other; Sedillo Lopez Do You; Lopez Present; Sedillo Lopez Any Discussion; Sedillo Lopez You Know; Sedillo Lopez Moves Into; Lopez But; Sidilia Lopez; Savio Lopez; Sedia Lopez; Sedillo Lopez Etcetera Tommen; Sedillo Lopez Go Ahead; Sedillo Lopez Did You; Seria Lopez; Sedillo Lopez No Explain; Sedillo Lopez Is Bill; Silvio Lopez; Sao Lopez; Lopez For Sponsoring This; Sedillo Lopez For Introducing; Cynthia Lopez; Sedillo Lopez Yes Sierra; Sedillo Lopez And You; Antoinette Sedillo Lopez; Samuel Lopez; Sergio Lopez; Sedillo Lopez Said We; Sedillo Lopez Is Going; Amanda Lopez; Lopez Now; Lopez On The Amendment; Lopez With The Second,High
Wood,988,Woods; Woods It; Woods And My Bill; Woods Here; Woods There; Woods For Bringing This; Woods Yes; Woods Votes Yes; Woods Votes No; Woods Boats; Woods Please; Woods That; Woods Point Well Taken; Woods Votes; Woods No; Woods Now; Pat Woods; Woods Boats No; Woods Let Me Just; Woods For That Question; Pat Woods Senate District; Woods Is Not Here; Woody; Woods Bill,High
Padilla,986,Padilla For Sponsoring This; Padilla For Bringing This; Padilla Let; Padilla Was Talking About; Padilla It; Padilla On The Bill; Padilla Yes; Padilla Next; Padilla For Bringing Us; Padilla We'Re We; Padilla If You Want; Padilla Is My Co; Padilla On The Amendment; Padilla Is On His; Padilla Here; Padilla Now We Will; Padilla You'Ve Been; Padilla Is Senate Bill; Padilla That; Padilla For His Leadership; Padilla But; Padilla Yes Explain My; Padilla No; Padilla For Sponsoring Sb; Padilla Votes Yes; Padillas; Padilla Votes; Padilla Votes No; Padilla Bosa; Padilla Boia; Padilla For His Vision; Padilla Bosia; Padillasia; Padilla Second; Padilla All In Favor; Padillo; Padilla You'Re Here,High
Trujillo,782,Patricia Trujillo; Trujillo On This Bill; Trujillo Let; Trujillo Is There Anybody; Trujillo Yes; Trujillo For The Motion; Trujillo That We'Re; Trujillo Next We'Re; Trujillo So Let; Trujillo You'Re Gonna; Trujillo We'Re Gonna; Trujillo It; Trujillo No To Table; Trujillo Is There Any; Trujillo Please; Trujillo Are There Any; Christine Trujillo; Trujillo Is Their Opposition; Amber Trujillo Our Cfo; Trujillo And Then We; Trujillo Here; Christine Trujillo Yes; Christine Trujillo Yes Ma; Trujillo For Bringing This; Trujillo Was Talking About; Trujillo For Doing This; Trujil; Trujillo Who; Trujillo Votes Yes; Trujillo Votes; Trujillo Bosa; Trujillo Botsia; Trujillo Votes No; Trujillo Votesia; Trujillos; Uh Trujillo,High
Martinez,775,Martin; Martinez So; Martinez Didn; Martinez Yes; Martinez Nope; Martinez Was Asking; Martinez Yes To Table; Vince Martinez; Martinez Your; Martinez There; Ma; Martinez That; Martinez To Explain His; Martinez We Still Can; Martinez Please; Martinez With Martinez; Uh Martinez; Martinez Just; Represented Martinez; Martinez Is Fine; Martinez To Say; Lane Speaker Martinez; Speaker Martinez; Lane Yes Speaker Martinez,High
Steinborn,685,Steinburn; Steinborne; Steinborg; Jeff Steinborn; Steinborn And Then; Steinborn That; Steinbor; Steinborn It; Steinborn Yes; Steinborn For Bringing This; Steinborn Votes Yes; Steinborn Votes; Steinborn Yeah; Stein; Steinborn You'Re Next; Steinborn And The Second; Steinborn Votes No; Jeff Steinborn From Dona; Steinborn Jeff Steinborn Yes; Steinborne Bosia; Steinborn Was Talking About; Steinborn There; Steinborn Jeff; Steinborn Made; Steinborn No; Steinborn And Then We; Steinborn We'Re Going; Steinborn You Have Your; Steinborne Votes Yes; Steinborn Place,High
Armstrong,678,Armstrong Go Ahead; Gail Armstrong No; Armstrong Yes To Table; Armstrong Yes; Armstrong Next We'Re; Arms; Armstrong Here; Armstrong Are There Any; Gail Armstrong; Armstrong For Bringing This; Armstrong No; Armstrong And Then We; Armstrong It; Armstrong That; Armstrong If You Like; Deborah Armstrong; Deborah Armstrong Yes; Armstrong To Explain Your; Debbie Armstrong; Gail Armstrong Yes; Armstrong But; Armstrong Is Here; Armstrong And Superintendent Toll; Armstrong Is There Discussion; Armstrong Okay,High
Hickey,669,Hickey Is There Anybody; Hickey It; Hickey He; Hickey Yes; Hickey Lane Can You; Hickey Are Muted; Hickey Who; Hickey For Bringing This; Hickey For The Second; Martin Hickey; Hickey That; Hickey If You'Ll; Hickey And If You; Hickey Mentioned; Hickey Was Talking About; Hickey Seconded; Hickey We'Re Going; Hickey To Explain His; Hickey Yeah; Hickey You'Re Next; Hickey Votes; Hickey Votes Yes; Hickey Let,High
Mcqueen,668,Mcqueen And Speaker Egolf; Mcqueen Yes; Mcqueen No; Mcqueen Here; Mcqueen This; Mcqueen And Then; Mcqueen If,High
Scott,662,Larry Scott; Scott Here; Scott Scanlon; My Name Is Scott; Scott Scanlon Registered Lobbyists; Scott To Explain His; Scott Oh; Scott Yes; Scott Was Talking About; Scott On The Amendment; Scott No,High
