name,last_name,frequency,confidence,chamber,party,district,years_active,committees,verified,notes,variants
Lopez,Lopez,1074,high,Unknown,Unknown,Unknown,,,False,,Sil Lopez; Cedilla Lopez; Sidia Lopez; Serio Lopez; Linda Lopez
Wood,Wood,988,high,Unknown,Unknown,Unknown,,,False,,Woods; Woods It; Woods And My Bill; Woods Here; Woods There
Padilla,Padilla,986,high,Unknown,Unknown,Unknown,,,False,,Padilla For Sponsoring This; Padilla For Bringing This; Padilla Let; Padilla Was Talking About; Padilla It
Trujillo,Trujillo,782,high,Unknown,Unknown,Unknown,,,False,,Patricia Trujillo; Trujillo On This Bill; Trujillo Let; Trujillo Is There Anybody; Trujillo Yes
Martinez,Martinez,775,high,Unknown,Unknown,Unknown,,,False,,Martin; Martinez So; Martinez Didn; Martinez Yes; Martinez Nope
Steinborn,Steinborn,685,high,Unknown,Unknown,Unknown,,,False,,Steinburn; Steinborne; Steinborg; Jeff Steinborn; Steinborn And Then
Armstrong,Armstrong,678,high,Unknown,Unknown,Unknown,,,False,,Armstrong Go Ahead; Gail Armstrong No; Armstrong Yes To Table; Armstrong Yes; Armstrong Next We'Re
Hickey,Hickey,669,high,Unknown,Unknown,Unknown,,,False,,Hickey Is There Anybody; Hickey It; Hickey He; Hickey Yes; Hickey Lane Can You
Mcqueen,Mcqueen,668,high,Unknown,Unknown,Unknown,,,False,,Mcqueen And Speaker Egolf; Mcqueen Yes; Mcqueen No; Mcqueen Here; Mcqueen This
Scott,Scott,662,high,Unknown,Unknown,Unknown,,,False,,Larry Scott; Scott Here; Scott Scanlon; My Name Is Scott; Scott Scanlon Registered Lobbyists
Gonzalez,Gonzalez,647,high,Unknown,Unknown,Unknown,,,False,,Ted Gonzalez; Gonzales; Uh Gonzalez; Gonzalez Is Here; Gonzalez And Then We
Brandt,Brandt,598,high,Unknown,Unknown,Unknown,,,False,,Brandt Sierra; Brand; Brandt No Ma'Am; Brandt Yes; Brandt No
Townsend,Townsend,582,high,Unknown,Unknown,Unknown,,,False,,Townsend We'Re Going; Townsend Yes; Townsend Here; Townsend No; Townsend Yes Ma'Am
Dixon,Dixon,537,high,Unknown,Unknown,Unknown,,,False,,Dixon For The Motion; Dixon Is There Any; Dixon Please; Dixon Second By Represented; Dixon We'Re Gonna
Joshua Sanchez,Sanchez,531,high,Unknown,Unknown,Unknown,,,False,,Sanchez
Stewart,Stewart,527,high,Unknown,Unknown,Unknown,,,False,,Stewart That; Stewart For Bringing This; Stewart Go Ahead; Mimi Stewart; Stewart With Us
Figueroa,Figueroa,492,high,Unknown,Unknown,Unknown,,,False,,Figueroa Here; Figueroa For Sponsoring This; Figueroa Are There Any; Figueroa Yes; Figuero
Garcia,Garcia,488,high,Unknown,Unknown,Unknown,,,False,,Garcia Next We'Re; Garcia That; Garcia Please; Garcia Yeah; Deborah Garcia
Pope,Pope,486,high,Unknown,Unknown,Unknown,,,False,,Popes; Pope To Explain His; Pope No; Pope Yes; Pope Yeah
Garrett,Garrett,474,high,Unknown,Unknown,Unknown,,,False,,Garrett Thanks; Garre; Garrett Is There Any; Garrett And Then Represent; Garrett No
Brown,Brown,473,high,Unknown,Unknown,Unknown,,,False,,Brown Yes To Table; Represent Brown; Brown Here; Brown And Then Represent; Catherine Brown
Kernan,Kernan,457,high,Unknown,Unknown,Unknown,,,False,,Kernan Was Talking About; Kernan Yes; Kernan It; Kernan No; Kernan Sierra
